date;url;var1;var2;var3;var4;var5;msg_to_2nd_degree;msg_to_3rd_degree
01/10/2019;https://www.linkedin.com/sales/people/ACwAAB7HAD4BbN7KHEekGGI6XUaXHHY7efxLu90,NAME_SEARCH,SDuk;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAAAeTLQoBa0c6IMVWPuS13gJpl1YJ2D_-lbw,NAME_SEARCH,x1_R;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAACX_d94BFm15vuv7ApzHgbRQtCNOIHDZFRc,NAME_SEARCH,sKq1;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAABlpTq8BMahGG5qQKm_Hfan6MdWoZEQ3BqE,NAME_SEARCH,3cof;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAABeTlZcBi9htfFubFYuD1ztIhMkct4f_mZc,NAME_SEARCH,6SyG;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAAASljK8B-a15Lx49n0at3PTGUv-dp5VEmWs,NAME_SEARCH,Js1r;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAAAKsrO8BGA7cs05M0hQWQioE1x5m_J9MIHI,NAME_SEARCH,EVlX;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAACEdtFEBNjU7fu6hJ3ssoKnHfKkyQ03bUcw,NAME_SEARCH,N3XE;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAACDEQNsBF9DzjTGIgUt6W04lr5gMv6KvhLo,NAME_SEARCH,Wbbv;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAACCW88YBIsBd1e5wGMU8Qa8NSnG4ATaRu90,NAME_SEARCH,nf_x;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAAB8TCowBYBYCyKuv7o_UHylDtLOYrLBcUOk,NAME_SEARCH,Z0Wv;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAAAmJO0kBxHF-w-ARpOB2VSHIi452xRyuVkk,NAME_SEARCH,RHzc;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAACW1k8cBR2Jy18iYqETdXr09KVY3lhs4OwY,NAME_SEARCH,H4k3;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAACY0aG0BNE7_E7F804-WuL-4GM9VJgjKpug,NAME_SEARCH,deSM;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAACPt6uwBm5No-q6kQLnI0L3oEC-2WbNlG_k,NAME_SEARCH,1Q58;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAAB6-x5cB6-fRhvdURBe0ZePi1LAFKHeD64I,NAME_SEARCH,iiKQ;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAAB0O1w0BZ0o3hQHs9RTrDk04WDVAm57doNI,NAME_SEARCH,uauT;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
01/10/2019;https://www.linkedin.com/sales/people/ACwAACGr_nQBQ5RYnlqLi75_lFpebxJObCHE3lY,NAME_SEARCH,cMH8;na;na;na;na;na;Hi <runtime_firstName>, we've <runtime_commoncontacts_msg> mutual contacts. I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology & Im a BigData/AI/ML strategist. Im hoping to connect & follow you. Pls accpt my invite -Srujan;Hi <runtime_firstName>, Apologies for my direct approach. Im a BigData/AI/ML strategist & I helped Nike, Kellogs, Shell & Llyods solve challenges with data technology. Im hoping to connect to exchange meaningful conversations on our fields. Pls accpt my invite -Srujan
